frame,center_x,center_y
0,372,199
1,338.25,185.0
2,327.5,180.25
3,336.25,158.5
4,342.0,134.75
5,341.5,127.0
6,336.5,137.0
7,332.0,133.0
8,335.0,131.0
9,342.5,139.75
10,346.0,142.0
11,356.5,149.0
12,347.25,162.0
13,334.5,179.75
14,338.0,182.0
15,337.75,183.0
16,334.0,180.0
17,319.0,181.0
18,310.0,181.0
19,298.0,172.0
20,287.5,163.0
21,281.5,154.5
22,276.0,156.0
23,264.25,164.25
24,254.0,168.75
25,254.75,172.0
26,256.5,178.25
27,254.5,187.5
28,253.25,198.5
29,246.0,214.0
30,240.5,222.0
31,245.75,227.5
32,251.5,231.25
33,246.0,236.5
34,243.0,242.5
35,250.5,239.75
36,254.5,226.75
37,251.25,213.25
38,255.25,209.0
39,260.5,206.0
40,260.25,198.5
41,263.0,189.5
42,273.5,192.5
43,276.25,191.25
44,278.0,194.0
45,282.5,186.25
46,287.5,180.0
47,287.0,176.0
48,276.5,175.5
49,278.5,154.5
50,270.0,140.0
51,263.5,136.5
52,260.0,128.5
53,266.5,108.5
54,272.0,99.5
55,268.25,105.0
56,262.0,106.25
57,268.5,104.5
58,271.5,113.25
59,266.0,133.75
60,265.5,146.0
61,261.0,153.0
62,260.5,163.5
63,258.0,158.5
64,244.25,163.0
65,231.5,157.25
66,222.75,130.0
67,212.5,123.0
68,205.5,125.5
69,191.75,134.75
70,179.0,133.75
71,170.0,122.5
72,175.0,117.5
73,175.5,113.75
74,172.5,116.5
75,172.5,128.0
76,177.0,128.75
77,185.75,130.5
78,190.25,132.5
79,189.0,126.0
80,186.5,133.5
81,181.0,147.5
82,177.75,141.0
83,180.75,129.5
84,183.5,126.5
85,187.5,129.75
86,190.0,130.25
87,193.5,132.0
88,201.5,135.0
89,208.25,138.25
90,211.25,144.0
91,218.75,152.5
92,220.0,160.0
93,230.5,164.0
94,238.5,165.5
95,235.0,178.5
96,230.5,187.75
97,234.5,182.75
98,235.75,171.0
99,227.75,165.25
100,222.0,169.5
101,221.25,165.75
102,221.75,164.75
103,218.75,168.75
104,216.5,171.5
105,216.75,176.75
106,209.0,184.75
107,211.5,176.5
108,216.5,176.5
109,231.0,168.75
110,223.75,161.25
111,215.5,154.25
112,211.0,138.0
113,207.0,122.0
114,188.0,113.5
115,170.0,108.25
116,163.5,97.0
117,171.0,92.0
118,177.5,99.25
119,166.0,105.0
120,152.5,114.0
121,154.5,125.75
122,163.5,134.5
123,168.5,138.5
124,173.25,144.5
125,167.75,138.0
126,169.0,136.0
127,178.25,133.5
128,199.0,137.75
129,201.0,131.5
130,189.75,127.5
131,189.5,127.5
132,200.75,130.0
133,200.5,127.0
134,188.5,122.25
135,190.25,123.25
136,189.75,119.5
137,191.5,121.75
138,188.25,126.0
139,189.25,133.75
140,198.5,140.0
141,202.5,139.25
142,195.5,133.25
143,202.75,125.25
144,217.0,122.5
145,222.5,115.5
146,211.5,118.0
147,202.0,121.5
148,212.5,123.5
149,218.75,126.75
150,216.0,138.0
151,210.5,146.0
152,209.0,151.0
153,215.5,155.0
154,224.0,161.5
155,236.5,166.5
156,228.0,172.5
157,214.0,176.5
158,216.5,182.0
159,228.75,179.0
160,236.5,168.5
161,230.25,153.5
162,219.5,154.5
163,222.25,157.5
164,228.75,167.0
165,237.75,162.0
166,243.5,162.0
167,242.25,156.0
168,238.25,159.25
169,229.5,160.5
170,222.5,166.0
171,217.5,173.0
172,215.75,170.5
173,212.0,173.25
174,212.25,177.0
175,214.75,179.25
176,209.75,177.0
177,206.0,175.5
178,213.75,175.0
179,224.5,173.5
180,221.5,174.0
181,219.0,173.5
182,223.75,174.5
183,225.25,171.0
184,220.5,170.5
185,216.0,170.5
186,217.0,168.0
187,218.5,166.0
188,217.0,162.75
189,216.0,166.5
190,213.5,169.5
191,212.75,174.75
192,214.0,176.25
193,215.75,176.0
194,215.0,178.0
195,216.5,178.5
